,Iq,If,It,Isp,Is,mean_irradiance,mean_shading,cluster,row,col
20,0.5130876605242463,0.39724591413732313,100.9322033898305,0.7800533746455557,0.20490038671785687,350.0409163491624,0.20160485514084367,1,57,26
21,0.6539347147884385,0.34478486682231857,75.7696335078534,0.8188758161389574,0.20900933923030066,340.7185267487477,0.23140576560944023,1,58,14
22,0.507682582514322,0.3962691189784152,100.44082125603865,0.7811112502535187,0.20461286349189395,347.17639112464695,0.20537127275902003,1,58,26
23,0.6552290831403259,0.345642540620384,73.86965376782078,0.8214658410686163,0.22447367077768315,336.4345535395777,0.2392319585727266,1,59,14
24,0.5068356254406967,0.3967456044217849,97.27219626168224,0.7775827076006742,0.2179213267085299,343.37789554695206,0.2114754147765277,1,59,26
25,0.6521202346094087,0.35178920283985327,75.33673469387755,0.8082565924758645,0.23574423015920287,332.63074361438,0.24343295836232373,1,60,14
26,0.5052246369205466,0.40382141325582505,97.75086505190312,0.7629257995183084,0.23223631772994616,338.61996265976046,0.2191497070502106,1,60,26
27,0.6017128781913591,0.3617715728784486,71.29107981220658,0.800036197226854,0.23302736256020418,342.3784138384986,0.24089179705560887,1,68,20
28,0.5959227997506463,0.35857912040787154,81.53304442036837,0.7938484613978587,0.1952736322086573,353.01767247621996,0.2046740213425848,1,72,14
29,0.48326330983816895,0.40575117930147236,113.69158878504673,0.7631991726170116,0.19786124242650957,358.0796548750266,0.1832755650221191,1,72,26
30,0.5843853367291055,0.3588411874017249,82.94052863436123,0.7903586823508478,0.18517119456784428,356.0570641406916,0.19636374288825384,1,73,14
31,0.4723756105138204,0.4082289036069948,115.30955585464334,0.758370968981817,0.1882885408676771,360.47860753037145,0.17699610045765454,1,73,26
32,0.5855246738408886,0.36017534664316003,86.1915621436716,0.7852284836236862,0.19364991809380236,356.6014055777145,0.19844397692971288,1,74,14
33,0.466995280505384,0.41282698813551244,119.33884297520662,0.7497001825020138,0.19035168557031487,362.48942873986414,0.1737712583024074,1,74,26
34,0.5727239071704561,0.3657740506027541,89.26162790697674,0.7770375100374938,0.20041940738952752,359.7085998619226,0.1925533255596877,1,75,14
35,0.4603311516843693,0.41702006003716585,122.57703081232494,0.7421264825069142,0.20464390523112003,363.8604609126856,0.17413410560525386,1,75,26
36,0.6476235803193233,0.3487635202744556,71.13216715257532,0.8291969047011986,0.23651924977138386,347.72814559079166,0.23551683760400555,2,23,15
