,site,date,sensor,r_intercepted
253,total,2023-04-05 06:30:00+02:00,1,347.4655307291667
254,total,2023-04-05 07:00:00+02:00,1,514.8311453125
255,total,2023-04-05 07:30:00+02:00,1,661.2661041666668
256,total,2023-04-05 08:00:00+02:00,1,103.62097447916669
257,total,2023-04-05 08:30:00+02:00,1,111.13073802083335
258,total,2023-04-05 09:00:00+02:00,1,117.58299270833334
259,total,2023-04-05 09:30:00+02:00,1,123.84438906249999
260,total,2023-04-05 10:00:00+02:00,1,1329.2325973958334
261,total,2023-04-05 10:30:00+02:00,1,1401.9708635416666
262,total,2023-04-05 11:00:00+02:00,1,1437.5609713541667
263,total,2023-04-05 11:30:00+02:00,1,1497.6515447916668
264,total,2023-04-05 12:00:00+02:00,1,1472.12816875
265,total,2023-04-05 12:30:00+02:00,1,1379.1435239583336
266,total,2023-04-05 13:00:00+02:00,1,1370.030021875
267,total,2023-04-05 13:30:00+02:00,1,1264.0058520833334
268,total,2023-04-05 14:00:00+02:00,1,1162.347603125
269,total,2023-04-05 14:30:00+02:00,1,1074.2385864583334
270,total,2023-04-05 15:00:00+02:00,1,914.2741520833333
271,total,2023-04-05 15:30:00+02:00,1,704.831759375
272,total,2023-04-05 16:00:00+02:00,1,523.8119125000001
273,total,2023-04-05 16:30:00+02:00,1,427.83497135416667
274,total,2023-04-05 17:00:00+02:00,1,307.9281645833334
275,total,2023-04-05 17:30:00+02:00,1,132.38739166666667
276,total,2023-04-05 18:00:00+02:00,1,19.233494791666665
277,total,2023-04-05 18:30:00+02:00,1,0.18191875000000002
278,total,2023-04-05 19:00:00+02:00,1,0.0
279,total,2023-04-05 19:30:00+02:00,1,0.0
280,total,2023-04-05 20:00:00+02:00,1,0.0
281,total,2023-04-05 20:30:00+02:00,1,0.0
282,total,2023-04-05 21:00:00+02:00,1,0.0
283,total,2023-04-05 21:30:00+02:00,1,0.0
284,total,2023-04-05 22:00:00+02:00,1,0.0
285,total,2023-04-05 22:30:00+02:00,1,0.0
286,total,2023-04-05 23:00:00+02:00,1,0.0
287,total,2023-04-05 23:30:00+02:00,1,0.0
