"Coord","Col","Row","group_clearsky","dist_to_center","center_group","Rep","Zone","Selected"
12.055,55,12,"4",18.1427806486316,"no",3,"Sampling","selected"
12.056,56,12,"4",27.6195684749091,"no",3,"Sampling","no"
12.057,57,12,"4",28.8306626567803,"no",3,"Sampling","no"
12.058,58,12,"1",29.4970878693854,"no",3,"Sampling","no"
12.059,59,12,"1",27.3520748453397,"no",3,"Sampling","no"
12.06,60,12,"1",28.8979835734291,"no",3,"Sampling","no"
12.061,61,12,"3",31.6475847831973,"no",3,"Sampling","no"
12.062,62,12,"3",12.2996868820757,"no",3,"Sampling","selected"
12.063,63,12,"3",13.1568385163831,"no",3,"Sampling","selected"
12.064,64,12,"3",18.893766625344,"no",3,"Sampling","no"
12.068,68,12,"4",28.6693724953678,"no",4,"Harvest","no"
12.069,69,12,"4",24.7733879555509,"no",4,"Harvest","no"
12.07,70,12,"4",18.9312184065291,"no",4,"Harvest","selected"
12.071,71,12,"4",27.2333769286206,"no",4,"Harvest","no"
12.072,72,12,"4",28.5883348511395,"no",4,"Harvest","no"
12.073,73,12,"1",29.4022617310652,"no",4,"Harvest","no"
12.074,74,12,"1",27.5620116892639,"no",4,"Harvest","no"
12.075,75,12,"1",28.3095587512395,"no",4,"Harvest","no"
12.076,76,12,"3",30.9310651512645,"no",4,"Harvest","no"
12.077,77,12,"3",12.171840306237,"no",4,"Harvest","selected"
13.023,23,13,"4",31.6816753220526,"no",1,"Sampling","no"
13.024,24,13,"4",29.4679462156436,"no",1,"Sampling","no"
13.025,25,13,"4",27.1991954384346,"no",1,"Sampling","no"
13.026,26,13,"4",31.9381926279463,"no",1,"Sampling","no"
13.027,27,13,"1",31.9645110599478,"no",1,"Sampling","no"
13.028,28,13,"1",21.7470380905615,"no",1,"Sampling","no"
13.029,29,13,"1",23.5852266514341,"no",1,"Sampling","no"
13.03,30,13,"1",24.1733192952615,"no",1,"Sampling","no"
13.031,31,13,"1",32.0637880230732,"no",1,"Sampling","no"
13.032,32,13,"3",18.3367840988525,"no",1,"Sampling","selected"
13.033,33,13,"3",19.0623888119226,"no",1,"Sampling","no"
13.034,34,13,"3",20.9447213514048,"no",1,"Sampling","no"
13.038,38,13,"4",31.3608046993497,"no",2,"Harvest","no"
13.039,39,13,"4",29.2133733168734,"no",2,"Harvest","no"
13.04,40,13,"4",27.3715561679001,"no",2,"Harvest","no"
13.041,41,13,"4",30.8804165240162,"no",2,"Harvest","no"
13.042,42,13,"1",31.7496606156909,"no",2,"Harvest","no"
13.043,43,13,"1",21.7077362280029,"no",2,"Harvest","no"
13.044,44,13,"1",23.6879150857432,"no",2,"Harvest","no"
13.045,45,13,"1",23.9866797935503,"no",2,"Harvest","no"
13.046,46,13,"1",31.7191612304906,"no",2,"Harvest","no"
13.047,47,13,"3",18.3720710898286,"no",2,"Harvest","no"
13.048,48,13,"3",17.6183197520874,"no",2,"Harvest","selected"
13.049,49,13,"3",21.1891060904679,"no",2,"Harvest","no"
13.053,53,13,"4",31.7548644786928,"no",3,"Sampling","no"
13.054,54,13,"4",29.3936790720779,"no",3,"Sampling","no"
13.055,55,13,"4",27.0801479864466,"no",3,"Sampling","no"
13.056,56,13,"4",32.0159128641347,"no",3,"Sampling","no"
13.057,57,13,"1",31.8576067298493,"no",3,"Sampling","no"
13.058,58,13,"1",21.6490477038373,"no",3,"Sampling","no"
13.059,59,13,"1",23.5957193527849,"no",3,"Sampling","no"
13.06,60,13,"1",24.2658534921079,"no",3,"Sampling","no"
13.061,61,13,"1",32.2443762388801,"no",3,"Sampling","no"
13.062,62,13,"3",18.1753524804528,"no",3,"Sampling","no"
13.063,63,13,"3",18.9002935928133,"no",3,"Sampling","no"
13.064,64,13,"3",20.7608875004805,"no",3,"Sampling","no"
13.068,68,13,"4",31.614543764063,"no",4,"Harvest","no"
13.069,69,13,"4",29.3696072454232,"no",4,"Harvest","no"
13.07,70,13,"4",27.5300124455068,"no",4,"Harvest","no"
13.071,71,13,"4",31.1149295354937,"no",4,"Harvest","no"
13.072,72,13,"1",31.7354022966901,"no",4,"Harvest","no"
13.073,73,13,"1",21.5744753626114,"no",4,"Harvest","no"
13.074,74,13,"1",23.6154679323635,"no",4,"Harvest","no"
13.075,75,13,"1",23.8576362035379,"no",4,"Harvest","no"
13.076,76,13,"1",31.879280069932,"no",4,"Harvest","no"
13.077,77,13,"3",18.5614930999645,"no",4,"Harvest","selected"
14.023,23,14,"2",19.3799885544048,"no",1,"Sampling","no"
14.024,24,14,"2",20.9380828799198,"no",1,"Sampling","no"
14.025,25,14,"2",27.2779761556878,"no",1,"Sampling","no"
14.026,26,14,"1",25.9250478470947,"no",1,"Sampling","no"
14.027,27,14,"1",19.5624771564351,"no",1,"Sampling","selected"
14.028,28,14,"1",1.50809024243543,"no",1,"Sampling","selected"
14.029,29,14,"1",12.7707173898846,"no",1,"Sampling","selected"
14.03,30,14,"1",14.4192091709767,"no",1,"Sampling","selected"
14.031,31,14,"1",25.1007095012431,"no",1,"Sampling","no"
14.032,32,14,"3",24.7194663283785,"no",1,"Sampling","no"
14.033,33,14,"3",23.9998679924597,"no",1,"Sampling","no"
14.034,34,14,"3",26.4834460186746,"no",1,"Sampling","no"
14.038,38,14,"2",20.5869572868459,"no",2,"Harvest","no"
14.039,39,14,"2",20.413310346745,"no",2,"Harvest","no"
14.04,40,14,"2",27.1467060143198,"no",2,"Harvest","no"
14.041,41,14,"1",26.5854325954027,"no",2,"Harvest","no"
14.042,42,14,"1",19.9239845618038,"no",2,"Harvest","selected"
14.043,43,14,"1",4.39159760899419,"no",2,"Harvest","selected"
14.044,44,14,"1",13.3067352810466,"no",2,"Harvest","selected"
14.045,45,14,"1",14.208887013579,"no",2,"Harvest","selected"
14.046,46,14,"1",24.7458376246561,"no",2,"Harvest","no"
14.047,47,14,"3",24.6013276772162,"no",2,"Harvest","no"
14.048,48,14,"3",23.8666391377233,"no",2,"Harvest","no"
14.049,49,14,"3",26.2784568249818,"no",2,"Harvest","no"
14.053,53,14,"2",18.7984674983599,"no",3,"Sampling","no"
14.054,54,14,"2",20.442381366193,"no",3,"Sampling","no"
14.055,55,14,"2",27.1147080461274,"no",3,"Sampling","no"
14.056,56,14,"1",25.7892080068829,"no",3,"Sampling","no"
14.057,57,14,"1",19.4423409566891,"no",3,"Sampling","selected"
14.058,58,14,"1",0,"yes",3,"Sampling","selected"
14.059,59,14,"1",12.5358225263138,"no",3,"Sampling","selected"
14.06,60,14,"1",14.3234255001843,"no",3,"Sampling","selected"
14.061,61,14,"1",24.9117956111051,"no",3,"Sampling","no"
14.062,62,14,"3",24.5149372661251,"no",3,"Sampling","no"
14.063,63,14,"3",23.8142626800253,"no",3,"Sampling","no"
14.064,64,14,"3",26.4183176766353,"no",3,"Sampling","no"
14.068,68,14,"2",20.8115597394432,"no",4,"Harvest","no"
14.069,69,14,"2",20.516330310695,"no",4,"Harvest","no"
14.07,70,14,"2",27.2200144133871,"no",4,"Harvest","no"
14.071,71,14,"1",26.7166008079647,"no",4,"Harvest","no"
14.072,72,14,"1",19.9701979542681,"no",4,"Harvest","selected"
14.073,73,14,"1",4.92320942555076,"no",4,"Harvest","selected"
14.074,74,14,"1",13.5630509719167,"no",4,"Harvest","selected"
14.075,75,14,"1",14.2237267726428,"no",4,"Harvest","selected"
14.076,76,14,"1",24.5053320939685,"no",4,"Harvest","no"
14.077,77,14,"3",24.6705110434221,"no",4,"Harvest","no"
15.023,23,15,"2",5.43905386640406,"no",1,"Sampling","selected"
15.024,24,15,"2",8.33391645700624,"no",1,"Sampling","selected"
15.025,25,15,"2",17.6131685843879,"no",1,"Sampling","no"
15.026,26,15,"2",26.3405637614523,"no",1,"Sampling","no"
15.027,27,15,"1",27.7146585590334,"no",1,"Sampling","no"
15.028,28,15,"1",23.420909941043,"no",1,"Sampling","no"
15.029,29,15,"1",25.1077973905207,"no",1,"Sampling","no"
15.03,30,15,"1",29.0481253276374,"no",1,"Sampling","no"
15.031,31,15,"1",33.6174588560294,"no",1,"Sampling","no"
15.032,32,15,"4",35.9130840814597,"no",1,"Sampling","no"
15.033,33,15,"4",33.8449486984792,"no",1,"Sampling","no"
15.034,34,15,"4",32.0257389229794,"no",1,"Sampling","no"
15.038,38,15,"2",12.9294026406787,"no",2,"Sampling","selected"
15.039,39,15,"2",11.5405602536739,"no",2,"Sampling","selected"
15.04,40,15,"2",18.3950850805716,"no",2,"Sampling","no"
15.041,41,15,"2",25.7407579390324,"no",2,"Sampling","no"
15.042,42,15,"1",28.2752053889035,"no",2,"Sampling","no"
15.043,43,15,"1",23.8085137222491,"no",2,"Sampling","no"
15.044,44,15,"1",25.1114013295259,"no",2,"Sampling","no"
15.045,45,15,"1",28.8341815092605,"no",2,"Sampling","no"
15.046,46,15,"1",32.8741224563561,"no",2,"Sampling","no"
15.047,47,15,"4",36.6401510012651,"no",2,"Sampling","no"
15.048,48,15,"4",35.5524985887861,"no",2,"Sampling","no"
